E,N
384784.6,6462067
384784.6,6462057
384786,6462057
384786.2,6462032
384769.5,6462032
384769.6,6462018
384763.6,6462018
384763.9,6461970
384769.9,6461970
384770,6461956
384770.3,6461885
384771.2,6461714
384735.4,6461714
384715.3,6461714
384715.3,6461713
384716.6,6461532
384718.1,6461323
384557.3,6461323
384557.3,6461277
384557.3,6461265
384476.7,6461264
384476.3,6461337
384476.3,6461337
384462.7,6461343
384456.3,6461345
384456.1,6461345
384454.8,6461551
384454.1,6461631
384392.3,6461631
384392,6461666
384376.8,6461682
384361.8,6461682
384340.8,6461682
384327,6461690
384270.1,6461722
384210,6461721
384144.6,6461721
384144.6,6461841.919
384188.1,6461877
384188.1,6461899
384188.1,6461900
384187.9,6462007
384211.9,6462007
384266.8,6462007
384286.9,6462008
384286.6,6462116
384286.5,6462179
384307,6462180
384317.1,6462180
384327.1,6462180
384347.2,6462180
384367.3,6462183
384387.3,6462185
384411.4,6462196
384411,6462231
384416.3,6462231
384421.3,6462231
384444.1,6462231
384450.2,6462231
384455.8,6462231
384470.2,6462240
384524.8,6462274
384592.8,6462315
384631.7,6462339
384865.6,6462341
384865.8,6462159
384795,6462159
384793,6462067
384785.9,6462067
384784.6,6462067
